raw_token,origin_candidate,recommended_raw_objects,coverage_status,file_path,function_or_component,event_name,sample_payload,explanation
accept_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
access_granted_timestamp,field_app,fact_arrival_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
action_log,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
activation_domain,backend,bronze_deal_yaml_context,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
actual_mileage,either,fact_travel_event,PARTIAL,"src/pages/TimeLog.jsx:226-246; public/openapi.yaml:248-279,586-617",TimeLog.submitTimeEntry / TimeEntryCreate,work_start|work_stop|break_start|break_end|travel_start|travel_end,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""timestamp"":""2026-03-16T08:45:00.000Z"",""source"":""app"",""sync_status"":""pending""}",Time entries are created explicitly and can be used to derive travel/work timestamps and durations.
actual_step_duration_min,field_app,fact_artifact_event / fact_domain_tool_log; fact_dispatch_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event; fact_runbook_step_event / fact_domain_tool_log,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
actual_tool_scan,field_app,fact_arrival_event; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
artifact_id,field_app,fact_artifact_event; fact_artifact_event / fact_domain_tool_log; fact_dispatch_event; fact_qc_event / fact_domain_tool_log; fact_runbook_step_event / fact_domain_tool_log,PRESENT,functions/registerEvidence.ts (manual repo review),POST /mock/api/evidence,registerEvidence,"{""workOrderId"":""job_123"",""siteId"":""site_456"",""uploaderId"":""tech_123"",""blobUrl"":""https://storage/evidence.jpg"",""captureTs"":""2026-03-16T09:12:33.000Z"",""captureLat"":51.5074,""captureLon"":-0.1278,""mimeType"":""image/jpeg"",""sha256"":""abc123"",""runbookStepId"":""step_phase2_3""}","Manual function creates Evidence, UploadManifest, Activity(upload), and AuditLog(evidence_upload)."
asset_tag_capture_flag,field_app,fact_artifact_event; fact_dispatch_event,PARTIAL,"src/hooks/useUploadQueue.js:143-158,246-279",useUploadQueue.uploadItemOnce / addToQueue,evidence_upload,"{""client_event_id"":""evt-kp2m4q-b7e03c1f"",""job_id"":""job_123"",""capture_ts"":""2026-03-16T09:12:33.000Z"",""face_blur"":true,""tags"":[""before_photo""],""serial_number"":""SN-12345""}","Evidence metadata is captured with offline retry, but atlas artifact lifecycle events are not emitted."
assignment_id,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
background_check_status,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
billable_hours,either,fact_closeout_event; fact_qc_event; fact_runbook_step_event; fact_travel_event,PARTIAL,"src/pages/TimeLog.jsx:34-54,226-246",TimeLog.calculateDurations / submitTimeEntry,derived_time_metrics,"{""job_id"":""job_123"",""work_seconds"":5400,""travel_seconds"":1800,""break_seconds"":900}","Durations are derived in the UI from timestamp pairs, not persisted as canonical atlas metrics."
blackout_flag,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
blocker_notice_timestamp,field_app,fact_arrival_event; fact_escalation_event; fact_travel_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
bom_review_completed_flag,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
bom_review_flag,field_app,fact_arrival_event; fact_runbook_step_event / fact_domain_tool_log; fact_tool_check_event,PARTIAL,functions/runbookStepResult.ts (manual repo review),POST /mock/api/runbooks/steps/result,runbook_step_result,"{""stepId"":""step_phase2_3"",""workOrderId"":""job_123"",""techId"":""tech_123"",""result"":""complete"",""durationSeconds"":420,""evidenceIds"":[""ev_123""]}","Runbook step result path exists and writes Activity/AuditLog, but not the atlas runbook_step_event schema."
bom_version,field_app,fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
calendar_block_state,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
cancel_timestamp,field_app,fact_dispatch_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
checkin_message_flag,field_app,fact_arrival_event; fact_escalation_event; fact_travel_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
checkin_timestamp,field_app,fact_arrival_event,PRESENT,"src/hooks/useJobQueue.js:20-27,97-148",useJobQueue.startTimer / eventTypeToJobUpdate,check_in,"{""client_event_id"":""evt-lp4abc-xyz"",""job_id"":""job_123"",""event_type"":""check_in"",""assignee_id"":""tech@example.com"",""device_ts"":""2026-03-16T15:49:00Z"",""device_meta"":{""battery"":null,""gps_accuracy"":null}}","Optimistic check-in queue stores timestamp and assignee email, then mutates Job.check_in_time/status."
clean_leave_behind_score,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
closeout_flag,field_app,fact_artifact_event / fact_domain_tool_log,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
closeout_submit_timestamp,field_app,fact_artifact_event; fact_closeout_event,PARTIAL,src/lib/telemetry.js:81-239,trackEvent / telemetry* helpers,job_check_in|evidence_upload_*|time_clock_*|runbook_step_complete|job_closeout|blocker_created,"{""job_id"":""job_123"",""entry_type"":""travel_start"",""duration_seconds"":900}","Base44 analytics events exist, but they scrub identifiers/coordinates and omit atlas envelope fields."
coaching_acceptance_flag,field_app,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
coaching_feedback_timestamp,field_app,fact_dispatch_event; fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
complaint_count,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
compliance_check_id,field_app,fact_runbook_step_event / fact_domain_tool_log,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
compliment_count,either,fact_feedback_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
configuration_accuracy_flag,field_app,fact_artifact_event; fact_qc_event,PARTIAL,src/pages/AdminQC.jsx:179-204,AdminQC.handleOverride / handleToggleRedact / handleRetryAll,qc_override,"{""qc_status"":""failed"",""qc_fail_reasons"":""blurry"",""face_redacted"":true}","QC UI updates verdict/redaction state on evidence records, but not a canonical fact_qc_event envelope."
credential_expiry_date,field_app,fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
credential_or_constraint_type,backend,bronze_technician_profile_snapshot,OUT_OF_SCOPE_BACKEND,,,,,Token maps to backend-only source objects in the atlas and should not be emitted by the field app.
credential_status,field_app,fact_runbook_step_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
credential_type,field_app,fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
cross_domain_job_flag,field_app,fact_artifact_event; fact_dispatch_event; fact_feedback_event; fact_runbook_step_event; fact_tool_check_event,MISSING,,,,,No explicit capture path found in the accessible repo subset or manual function review.
