metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,feature_type,observation_window,required_raw_datapoints,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models,signal_shape_inferred,definition
Name,Name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tech profile identity.
Rating,Rating,current_profile_field,universal_state,U_CUSTOMER_EXPERIENCE,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,Rating Aggregator,semi_structured_or_text,Current technician profile/parquet field mapped into legacy prior.
Jobs,Jobs,current_profile_field,universal_state,U_LEARNING_AGILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,Jobs Completed Counter,semi_structured_or_text,Current technician profile/parquet field mapped into legacy prior.
Last active,Last active,current_profile_field,universal_state,U_SCHEDULE_COMMITMENT,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into availability signal.
Talent pools,Talent pools,current_profile_field,universal_state,U_LEARNING_AGILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into talent pool membership.
About,About,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into profile summary.
Cell,Cell,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into contact identity.
Email,Email,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into contact identity.
Email Verified,Email Verified,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into contact identity.
Endorsements,Endorsements,current_profile_field,universal_state,U_CUSTOMER_EXPERIENCE,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into legacy prior.
First name,First name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tech profile identity.
Full name,Full name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tech profile identity.
Id,Id,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tech profile identity.
Language,Language,current_profile_field,universal_state,U_COMMUNICATION_ESCALATION,text_context,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate; Job Context Text Encoder,semi_structured_or_text,Current technician profile/parquet field mapped into candidate context.
Last name,Last name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tech profile identity.
Next Work Order,Next Work Order,current_profile_field,universal_state,U_SCHEDULE_COMMITMENT,scalar,point-in-time profile snapshot,technician_id | credential_or_constraint_type | status_flag | effective_date | expiry_date | source_system | region_or_language_if_applicable,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate,structured,Current technician profile/parquet field mapped into availability signal.
Phone,Phone,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into contact identity.
Provider Actions,Provider Actions,current_profile_field,none,,scalar,point-in-time profile snapshot,record_id | technician_id | source_system | action_log | timestamp | operator_or_system_actor,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),none,Traceability / Audit Layer,,structured,Current technician profile/parquet field mapped into lineage.
Registration date,Registration date,current_profile_field,universal_state,U_LEARNING_AGILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into legacy prior.
Service Company,Service Company,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,scalar,point-in-time profile snapshot,technician_id | snapshot_date | raw_profile_field_value | profile_text_or_list_value | source_snapshot_version,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,,semi_structured_or_text,Current technician profile/parquet field mapped into tech profile identity.
