stage,schema_name,object_name,object_kind,grain,primary_keys,description,source_or_feeds,used_by,partition_strategy,retention_policy,refresh_mode,recommended_azure_store,recommended_index_or_cluster,recommended_column_families
bronze_raw,bronze,bronze_artifacts,delta_table,artifact_event,artifact_event_id,"Photos, serials, labels, notes, signatures, as-builts.",photo_qc_and_closeout,Documentation heads,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_checklist_events,delta_table,checklist_event,checklist_event_id,"Tool, PPE, JSA, permit and readiness checklist raw captures.",field_app_checklists,Universal State Encoder,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_closeout_finance,delta_table,closeout_event,closeout_event_id,"Timecards, expenses, parts returns, invoice support docs.",closeout_and_finance,Universal State Encoder,event_date,36 months hot + archive,batch+stream,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_crm_context,delta_table,job_context,job_id | crm_field_name | sync_timestamp,"Raw CRM scope, BOM, site, schedule, commercial details.",HubSpot / CRM,Job Context Encoder,sync_date,keep full history,offline,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_deal_yaml_context,delta_table,job_context,job_id | field_id | source_version,Exploded YAML / SOW / policy pack fields with evidence and precedence.,deal_yaml_sow_pack,Job Context Encoder,job_created_month,keep full history,offline,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_dispatch_events,delta_table,job_assignment_event,assignment_event_id,"Offers, accepts, declines, cancels, reschedules, ETA commitments.",dispatch_system,Universal State Encoder,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_domain_tool_outputs,delta_table,domain_event,domain_event_id,"Domain-specific tool outputs for cabling, telecom, wireless, ITAD, etc.",domain-specific source systems,Domain Expert Bank,event_date,24 months hot + archive,batch+stream,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_feedback,delta_table,feedback_event,feedback_event_id,"CSAT, complaints, compliments, site contact ratings.",feedback_system,Customer Experience heads,event_date,36 months hot + archive,batch+stream,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_geofence_events,delta_table,travel_event,travel_event_id,"Radius pings, arrival/departure geofence events, route telemetry.",geofence_and_mobile_app,Universal State Encoder,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
bronze_raw,bronze,bronze_qc_reviews,delta_table,qc_event,qc_event_id,"QC pass/fail, feedback, defect details, retest loops.",qc_system,Domain Expert Bank,event_date,24 months hot + archive,streaming,Azure Data Lake / Delta bronze,cluster by partition strategy + business key,"ingest_ts, source_system, source_record_id, payload_json, file_uri, source_version, raw business keys, raw timestamps"
