metric_name,description,origin_candidate,rationale,required_for_model,azure_target_table,notes
accept_flag,Accept flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
access_granted_timestamp,Access granted timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
action_log,Action log captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,no,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
activation_domain,Activation domain captured in bronze_deal_yaml_context (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_deal_yaml_context,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
actual_mileage,Actual mileage captured in fact_travel_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
actual_step_duration_min,Actual step duration min captured in fact_artifact_event (structured).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_dispatch_event | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership with idempotent event envelopes.
actual_tool_scan,Actual tool scan captured in fact_arrival_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_arrival_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
artifact_id,Artifact id captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log | core.fact_dispatch_event | core.fact_qc_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
asset_tag_capture_flag,Asset tag capture flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
assignment_id,Assignment id captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
background_check_status,Background check status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
billable_hours,Billable hours captured in fact_closeout_event (mixed).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_closeout_event | core.fact_qc_event | core.fact_runbook_step_event | core.fact_travel_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
blackout_flag,Blackout flag captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
blocker_notice_timestamp,Blocker notice timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
bom_review_completed_flag,Bom review completed flag captured in fact_tool_check_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
bom_review_flag,Bom review flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_runbook_step_event | core.fact_domain_tool_log | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
bom_version,Bom version captured in fact_tool_check_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
calendar_block_state,Calendar block state captured in fact_dispatch_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_dispatch_event,Recommend field_app ownership with idempotent event envelopes.
cancel_timestamp,Cancel timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
checkin_message_flag,Checkin message flag captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event | core.fact_escalation_event | core.fact_travel_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
checkin_timestamp,Checkin timestamp captured in fact_arrival_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_arrival_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
clean_leave_behind_score,Clean leave behind score captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
closeout_flag,Closeout flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
closeout_submit_timestamp,Closeout submit timestamp captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_closeout_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
coaching_acceptance_flag,Coaching acceptance flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_dispatch_event | core.fact_feedback_event | core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
coaching_feedback_timestamp,Coaching feedback timestamp captured in fact_dispatch_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_dispatch_event | core.fact_runbook_step_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
complaint_count,Complaint count captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
compliance_check_id,Compliance check id captured in fact_runbook_step_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_runbook_step_event | core.fact_domain_tool_log,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
compliment_count,Compliment count captured in fact_feedback_event (structured).,either,This can be derived either from atomic field events or computed server-side from those events.,yes,core.fact_feedback_event,"Recommend field_app emits atomic facts first; backend derives/canonicalizes this metric for consistency, battery efficiency, and easier backfills."
configuration_accuracy_flag,Configuration accuracy flag captured in fact_artifact_event (structured).,field_app,"Represents an operator action, acknowledgement, checklist result, or event-time fact the field app must originate.",yes,core.fact_artifact_event | core.fact_qc_event,Recommend field_app ownership. Backend should validate/enrich but not invent missing values.
credential_expiry_date,Credential expiry date captured in fact_runbook_step_event (structured).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event,Recommend field_app ownership with idempotent event envelopes.
credential_or_constraint_type,Credential or constraint type captured in bronze_technician_profile_snapshot (mixed).,backend,Source-of-truth comes from backend/profile/document pipelines rather than field-side interaction.,yes,bronze_technician_profile_snapshot,Recommend backend ownership. Field app may echo IDs for correlation but should not author this metric.
credential_status,Credential status captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event,Recommend field_app ownership with idempotent event envelopes.
credential_type,Credential type captured in fact_runbook_step_event (mixed).,field_app,Operational fact is generated at the point of work and should be emitted directly from the field app.,yes,core.fact_runbook_step_event | core.fact_tool_check_event,Recommend field_app ownership with idempotent event envelopes.
