metric_or_field_id,display_name,catalog_group,state_group,primary_embedding_target,recommended_raw_table,recommended_feature_table,recommended_serving_table,candidate_supervised_heads,model_component,mapped_models
Name,Name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Rating,Rating,current_profile_field,universal_state,U_CUSTOMER_EXPERIENCE,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,Rating Aggregator
Jobs,Jobs,current_profile_field,universal_state,U_LEARNING_AGILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,Jobs Completed Counter
Last active,Last active,current_profile_field,universal_state,U_SCHEDULE_COMMITMENT,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Talent pools,Talent pools,current_profile_field,universal_state,U_LEARNING_AGILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
About,About,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Cell,Cell,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Email,Email,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Email Verified,Email Verified,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Endorsements,Endorsements,current_profile_field,universal_state,U_CUSTOMER_EXPERIENCE,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
First name,First name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Full name,Full name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Id,Id,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Language,Language,current_profile_field,universal_state,U_COMMUNICATION_ESCALATION,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate; Job Context Text Encoder
Last name,Last name,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Next Work Order,Next Work Order,current_profile_field,universal_state,U_SCHEDULE_COMMITMENT,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Phone,Phone,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Provider Actions,Provider Actions,current_profile_field,none,,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),none,Traceability / Audit Layer,
Registration date,Registration date,current_profile_field,universal_state,U_LEARNING_AGILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Service Company,Service Company,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Tagline,Tagline,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Talent Type(s),Talent Type(s),current_profile_field,universal_state,U_LEARNING_AGILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Thumbnail,Thumbnail,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Time Zone,Time Zone,current_profile_field,universal_state,U_SCHEDULE_COMMITMENT,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate; Job Context Text Encoder
Website,Website,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,Access Delay / Site Friction Model
Worked with,Worked with,current_profile_field,universal_state,U_CUSTOMER_EXPERIENCE,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Background check,Background check,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Certifications,Certifications,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Credit check,Credit check,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Driving records check,Driving records check,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Drug test,Drug test,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Equipment,Equipment,current_profile_field,universal_state,U_TOOLS_MATERIALS,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Licenses,Licenses,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Protec,Protec,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Skillsets,Skillsets,current_profile_field,universal_state,U_LEARNING_AGILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
skillset2,skillset2,current_profile_field,universal_state,U_LEARNING_AGILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),cold_start_fit_prior | initial_candidate_generation,Profile Prior Tower,
Worker Compensation,Worker Compensation,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Address 1,Address 1,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Address 2,Address 2,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
City,City,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Country,Country,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Distance,Distance,current_profile_field,universal_state,U_TRAVEL_DISCIPLINE,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate; Job Context Text Encoder
State,State,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
Zip,Zip,current_profile_field,universal_state,U_CREDENTIALS_ELIGIBILITY,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),eligibility_filter_only,Eligibility Gate,Eligibility Gate
_source_zip,_source_zip,current_profile_field,none,,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),none,Traceability / Audit Layer,
_source_csv,_source_csv,current_profile_field,none,,bronze_technician_profile_snapshot,gold_tech_profile_prior,serving_tech_embedding_cache (prior slice),none,Traceability / Audit Layer,
Core_AcceptanceCriteria,Core AcceptanceCriteria,yaml_scope_field,job_context,J_CORE_RISK_POLICY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Acceptance Rate Aggregator; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
Core_CustomerLegalName,Core CustomerLegalName,yaml_scope_field,job_context,J_CORE_IDENTITY,bronze_deal_yaml_context,fact_job_context_field / gold_job_context_snapshot,serving_job_context_embedding_cache,pairwise_fit_retrieval | duration_overrun_risk | first_pass_qc | redispatch_risk | margin_risk | safety_risk,Job Context Encoder,Customer Experience Risk Model; Domain Expert Bank; Duration Overrun Predictor; Job Context Text Encoder; Margin Erosion / Admin Risk Model; No-Show / Cancellation Risk Model; QC Failure / First-Pass Model; Subdomain Adapter Bank
