model_name,model_tier,category,primary_entity,purpose,required_datasets,required_feature_groups,label_or_target,recommended_algorithm,outputs,output_table,training_cadence,ui_surfaces,notes
Eligibility Gate,Rules / shallow classifier,gating,job-tech pair,Filter out technicians that cannot legally or operationally take the job before expensive ranking.,dim_technician; dim_technician_credential; dim_technician_tool_inventory; dim_job; fact_job_context_field,"credentials, geography, language, customer restrictions, schedule, tool eligibility",eligibility decision / false exclusion review,rules + logistic fallback,"eligibility_mask, hard_constraint_reason_codes",fact_job_tech_fit_score / serving_model_explanation_cache,rule deploy as needed; classifier weekly,none directly; powers candidate set and watchouts,Never treat credentials as proof of observed skill.
Trust Composer,Heuristic score + calibrator,score_composer,technician,Build overall trust score and decomposition shown on the card.,fact_technician_skill_state_daily; fact_technician_domain_state_daily; fact_job_outcome; gold_calibration_eval,"completeness, consistency, support evidence, calibration, in-distribution, neighbor agreement",stable trust score calibrated against realized outcomes,weighted composer + isotonic calibration,"trust_score, trust_band, trust_decomposition_*",fact_job_tech_fit_score; serving_model_explanation_cache,daily recompute; monthly weight review,"Overview, Fit & Trust",Human-readable metric; do not derive directly from embeddings.
Acceptance Rate Aggregator,SQL metric,heuristic,technician,Compute offer acceptance / follow-through behavior for operations.,fact_dispatch_event,"offer count, acceptance count, decline count, cancel count, response lag",n/a,SQL aggregation,"acceptance_rate_30d, acceptance_rate_90d, response_lag",fact_technician_skill_state_daily,hourly or daily,"Overview, Fit & Trust",Direct operational metric; also feeds universal state encoder.
Jobs Completed Counter,SQL metric,heuristic,technician,Compute transparent lifetime and rolling job completion counts.,fact_job_outcome,"completed jobs, cancelled jobs, redispatch jobs",n/a,SQL aggregation,"jobs_completed_lifetime, jobs_completed_90d, completed_by_domain",fact_technician_skill_state_daily / fact_technician_domain_state_daily,daily,"Overview, Skills & Certs, Past Jobs",Display metric and evidence depth baseline.
Rating Aggregator,SQL metric,heuristic,technician,Compute customer/PM rating summaries with evidence counts.,fact_feedback_event,"rating mean, rating count, complaint count, compliment count",n/a,SQL aggregation + Bayesian shrinkage,"rating_mean, rating_count, csat_proxy",fact_technician_skill_state_daily,daily,"Overview, Past Jobs",Shrink small sample sizes aggressively.
No-Show / Cancellation Risk Model,Supervised ML,risk,job-tech pair,Predict likelihood of last-minute cancellation or no-show on a proposed assignment.,fact_dispatch_event; fact_travel_event; fact_arrival_event; gold_job_context_snapshot; fact_technician_skill_state_daily,"acceptance history, lateness history, travel load, schedule conflicts, customer/site friction, freshness",no_show_or_late_cancel_flag,LightGBM / XGBoost,"no_show_risk_score, cancel_risk_score",fact_job_tech_fit_score,weekly,"Risk & Conditions, watchouts",Strong early value model; easy first production win.
Late Arrival Risk Model,Supervised ML,risk,job-tech pair,Predict risk that ETA or arrival SLA will be missed.,fact_travel_event; fact_arrival_event; fact_dispatch_event; dim_site; gold_job_context_snapshot,"drive time variance, local/regional radius, traffic/time windows, access friction, punctuality history",late_arrival_flag,LightGBM / temporal gradient boosting,"late_arrival_risk, eta_slip_minutes",fact_job_tech_fit_score,weekly,"Risk & Conditions, operating conditions",Use site/time buckets to improve calibration.
Access Delay / Site Friction Model,Supervised ML,risk,job-tech pair,Predict check-in/access delay risk for specific site contexts.,fact_arrival_event; fact_job_context_field; dim_site; fact_escalation_event,"access requirements, contact responsiveness, site friction history, after-hours rules, permits",access_delay_flag,LightGBM,"access_delay_risk, likely_friction_reasons",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions,Use categorical explainers for watchouts.
QC Failure / First-Pass Model,Supervised ML,quality,job-tech pair,Predict first-pass success probability and QC defect risk.,fact_runbook_step_event; fact_qc_event; fact_domain_tool_log; fact_technician_domain_state_daily; gold_job_context_snapshot,"step performance, rework loops, validation logs, similar-job history, domain depth",first_pass_qc_flag / qc_failure_flag,LightGBM + domain-specific heads,"first_pass_probability, qc_failure_risk",fact_job_tech_fit_score,weekly,"Fit & Trust, Skills & Certs, Risk & Conditions",Primary quality predictor for dispatch and scoring.
Documentation Failure Model,Supervised ML,quality,job-tech pair,Predict whether photo/docs/serial/label requirements will fail or be incomplete.,fact_artifact_event; fact_closeout_event; gold_job_context_snapshot; fact_technician_skill_state_daily,"artifact completeness, photo quality, note quality, signoff history, closeout admin discipline",documentation_failure_flag,LightGBM,"documentation_risk, evidence_completeness_forecast",fact_job_tech_fit_score,weekly,"Fit & Trust, Risk & Conditions, Past Jobs",Great for trust decomposition and closeout quality.
Escalation / Blocker Risk Model,Supervised ML,risk,job-tech pair,"Predict probability of blocker escalation, scope confusion, or PM rescue loop.",fact_escalation_event; fact_runbook_step_event; fact_job_context_field; fact_dispatch_event,"communication lag, blocker frequency, scope ambiguity, schedule changes, customer/site volatility",escalation_flag,LightGBM,"escalation_risk, blocker_risk",fact_job_tech_fit_score / serving_model_explanation_cache,weekly,Risk & Conditions watchouts,Useful to distinguish execution skill from scope chaos.
Duration Overrun Predictor,Supervised regression,efficiency,job-tech pair,Predict expected duration and overrun vs plan for a proposed job or step family.,fact_runbook_step_event; gold_job_context_snapshot; dim_site; fact_domain_tool_log,"planned step durations, site/BOM size, complexity, historical cycle times, travel/access conditions",actual_duration_minutes,LightGBM regressor / quantile regression,"expected_duration, p90_duration, overrun_risk",fact_job_tech_fit_score,weekly,"Past Jobs, Risk & Conditions, staffing planner",Quantiles are more useful than a single point estimate.
Customer Experience Risk Model,Supervised ML,experience,job-tech pair,Predict complaint or poor CSAT risk from behavior/context mismatch.,fact_feedback_event; fact_escalation_event; fact_artifact_event; fact_job_context_field,"professionalism history, communication style, documentation quality, customer sensitivity, regulated context",poor_csat_or_complaint_flag,LightGBM,"csat_risk, professionalism_risk",fact_job_tech_fit_score,weekly,"Risk & Conditions, Overview",Separate from skill; more behavior/customer-fit oriented.
Margin Erosion / Admin Risk Model,Supervised ML,commercial,job-tech pair,"Predict margin leakage from overruns, extra travel, repeat visits, or admin defects.",fact_closeout_event; fact_runbook_step_event; fact_travel_event; fact_job_context_field; fact_job_outcome,"duration variance, extra trips, expense/timecard issues, parts returns, billing complexity",margin_erosion_flag / gross_margin_delta,LightGBM regressor/classifier,"margin_risk, admin_leakage_risk",fact_job_tech_fit_score,weekly,"Ops review, staffing economics",Useful for preferred-tech logic when economics matter.
Universal State Encoder,Neural encoder,embedding,technician,Encode cross-domain technician behavior into universal U_* channels.,fact_dispatch_event; fact_travel_event; fact_arrival_event; fact_tool_check_event; fact_qc_event; fact_artifact_event; fact_escalation_event; fact_closeout_event; fact_feedback_event,"attendance, travel, arrival, readiness, safety, communication, documentation, closeout, customer experience","show_up, arrival, docs, csat, productivity, safety outcomes",time-aware transformer / GRU / Mamba,"universal_state_embedding, per-channel scores",fact_technician_skill_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Trust decomposition, cross-domain fit, overall reliability",One shared state bundle across all product types.
Domain Expert Bank,Neural encoder,embedding,technician-domain,Encode product-type-specific skill evidence into D_* channels.,fact_runbook_step_event; fact_qc_event; fact_domain_tool_log; fact_artifact_event; gold_step_train,"step family success, validation quality, execution timing, documentation, domain tools","first_pass, rework, redispatch, defect, duration outcomes by domain",shared trunk + per-domain expert heads / MoE,"domain_state_embedding, D_* scores",fact_technician_domain_state_daily; serving_tech_embedding_cache,daily incremental + weekly full refresh,"Best fit, weak fit, skills, domain cards",Primary skill engine; do not let one domain bleed into another.
